Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;Sw;PasCrs;TI;CK;CkIn;CkOut;CkStr;PasCmp;PasOff;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Blocks;BlkSh;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;ToAtt;ToSuc;ToSuc%;ToTkl;ToTkl%;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;Rec;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%;Cluster;Overall
292;Leonardo Bittencourt;GER;MFDF;Werder Bremen;Bundesliga;29;1993;14;12;860;9.60;2;1.35;0.63;46.20;0.15;0.33;22.00;0.10;0.00;0.00;29.20;41.00;71.10;440.30;96.50;15.80;18.40;85.90;10.80;14.30;75.90;1.35;4.06;33.30;0.00;0.52;2.08;0.83;0.10;2.92;41.00;39.80;1.25;0.10;0.10;0.31;2.08;1.04;0.10;0.10;0.00;0.00;29.20;0.00;1.98;2.08;0.94;0.00;0.21;0.10;0.63;0.21;0.10;0.00;0.00;0.00;0.00;0.10;0.00;2.29;1.25;0.42;1.46;0.42;0.83;1.88;44.40;1.04;0.63;0.00;0.63;0.83;3.13;0.42;0.00;53.10;0.63;7.40;29.60;16.80;2.40;53.10;2.71;0.94;34.60;1.25;46.20;33.40;179.20;71.50;2.29;1.98;0.31;2.60;0.83;36.90;5.31;0.52;0.00;0.00;2.92;2.08;0.31;2.08;1.25;0.00;0.00;0.00;6.56;0.21;1.04;16.70;1;64.32
293;Marco Bizot;NED;GK;Brest;Ligue 1;31;1991;21;21;1890;21.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;19.90;27.70;71.80;617.50;445.40;1.95;1.95;100.00;10.30;10.50;98.60;7.52;15.10;49.70;0.00;0.00;0.33;0.05;0.00;0.00;27.70;17.50;10.10;2.57;0.00;0.05;0.00;0.00;0.00;0.00;0.00;0.00;19.90;0.05;0.00;0.14;0.14;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.05;0.00;0.05;0.00;0.00;0.81;0.10;31.00;27.50;31.00;0.00;0.00;0.00;31.00;0.00;0.00;0.00;0.00;0.00;18.30;94.80;45.80;0.00;0.00;0.00;0.00;0.00;11.00;0.00;0.14;0.00;0.00;0.00;0.10;0.00;0.00;0.00;0.00;0.00;0.00;0.71;0.19;0.05;80.00;2;
294;Blanco;ESP;MF;CÃ¡diz;La Liga;22;2000;3;2;158;1.80;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;31.70;33.90;93.40;454.40;76.10;17.20;18.30;93.90;12.20;13.30;91.70;0.56;0.56;100.00;0.00;0.56;1.67;0.56;0.00;1.11;33.90;33.90;0.00;0.00;0.00;0.56;0.00;0.00;0.00;0.00;0.00;0.00;31.70;0.00;0.00;1.11;1.11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;2.22;2.78;0.56;0.00;2.22;3.33;66.70;1.11;2.78;0.00;2.78;0.56;3.89;1.67;0.00;45.60;2.22;11.10;25.60;8.89;0.00;45.60;0.56;0.00;0.00;0.56;100.00;22.20;92.20;31.70;0.56;0.56;0.00;1.11;1.67;29.40;1.11;0.00;0.00;0.00;1.11;0.56;0.00;0.00;2.22;0.00;0.00;0.00;3.89;1.67;0.00;100.00;8;30.76
295;Lautaro Blanco;ARG;MFDF;Elche;La Liga;23;1999;5;2;230;2.60;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;23.10;40.00;57.70;471.20;297.30;11.50;13.50;85.70;6.54;13.10;50.00;5.00;12.30;40.60;0.38;1.15;2.69;1.15;0.77;3.46;40.00;28.80;11.20;0.38;0.00;0.00;8.08;10.40;0.38;0.00;0.00;0.38;23.10;0.00;0.77;1.54;1.15;0.00;0.00;0.00;0.00;0.38;0.38;0.38;0.00;0.00;0.00;0.00;0.00;1.92;0.77;1.15;0.38;0.38;1.54;1.92;80.00;0.38;1.54;0.38;1.15;0.38;2.31;1.54;0.00;49.20;1.54;14.20;15.80;20.40;0.38;49.20;1.54;0.38;25.00;1.15;75.00;24.20;148.10;76.20;1.54;1.54;0.00;0.77;0.00;22.70;4.23;0.38;0.00;0.00;0.38;0.00;0.00;8.08;0.77;0.00;0.00;0.00;6.92;0.00;0.77;0.00;5;39.28
296;RubÃ©n Blanco;ESP;GK;Marseille;Ligue 1;27;1995;4;4;360;4.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;38.30;78.40;704.80;454.80;6.75;6.75;100.00;16.30;16.50;98.50;6.50;14.50;44.80;0.00;0.00;0.00;0.00;0.00;0.00;38.30;28.30;10.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;30.00;0.00;0.00;0.25;0.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;40.00;33.00;40.00;0.00;0.00;0.00;40.00;0.00;0.00;0.00;0.00;0.00;29.50;142.50;71.80;0.00;0.00;0.00;0.00;0.00;21.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.50;0.00;0.00;0.00;8;
297;Ludovic Blas;FRA;MFFW;Nantes;Ligue 1;25;1997;22;18;1667;18.50;4;3.30;1.03;31.10;0.03;0.11;22.90;0.16;0.11;0.16;29.70;37.20;79.70;583.20;127.40;11.70;13.40;87.40;12.30;14.60;83.80;4.70;7.19;65.40;0.05;1.35;3.03;0.92;0.22;5.03;37.20;33.60;3.41;1.51;0.11;1.14;3.30;0.27;1.08;0.70;0.32;0.00;29.70;0.22;0.65;4.27;2.76;0.59;0.43;0.43;0.05;0.00;0.22;0.16;0.00;0.00;0.05;0.00;0.00;1.62;1.14;0.59;0.65;0.38;0.59;1.46;40.70;0.86;0.76;0.05;0.70;0.70;2.32;0.32;0.00;51.60;0.38;5.68;25.80;21.60;2.76;51.40;4.81;2.00;41.60;2.27;47.20;39.80;282.90;120.40;3.24;2.22;0.97;3.03;2.49;36.70;7.51;0.11;0.00;0.00;2.00;2.00;0.11;3.30;1.14;0.00;0.00;0.00;5.57;0.49;0.97;33.30;3;43.70
298;Janis Blaswich;GER;GK;RB Leipzig;Bundesliga;31;1991;13;13;1170;13.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.60;39.20;88.20;738.80;397.10;9.77;9.77;100.00;19.50;19.50;100.00;5.15;9.77;52.80;0.00;0.00;0.23;0.00;0.00;0.08;39.20;31.60;7.62;1.69;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;34.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.38;0.00;40.80;29.80;40.20;0.69;0.00;0.00;40.80;0.08;0.08;100.00;0.00;0.00;26.70;97.20;48.30;0.00;0.00;0.00;0.00;0.00;24.80;0.00;0.00;0.00;0.00;0.00;0.23;0.00;0.00;0.00;0.00;0.00;0.00;1.38;0.54;0.00;100.00;8;
299;Miha Bla?i?;SVN;DF;Angers;Ligue 1;29;1993;17;17;1485;16.50;2;0.30;0.12;40.00;0.40;1.00;9.30;0.00;0.00;0.00;47.80;55.00;86.90;968.70;344.40;14.50;15.80;91.60;26.30;28.20;93.10;6.24;9.70;64.40;0.00;0.06;1.88;0.12;0.00;2.61;55.00;52.40;2.61;2.48;0.00;0.24;0.06;0.12;0.00;0.00;0.00;0.00;47.80;0.00;0.06;0.24;0.24;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.00;0.00;0.00;0.00;0.18;0.18;0.18;0.00;0.00;0.18;0.55;33.30;0.36;1.09;0.79;0.30;0.97;1.15;3.33;0.06;61.70;8.18;32.40;28.80;0.55;0.36;61.70;0.00;0.00;0.00;0.00;0.00;45.10;202.10;92.20;0.00;0.00;0.00;0.18;0.00;41.10;0.00;0.12;0.00;0.00;0.55;0.79;0.00;0.06;0.18;0.00;0.00;0.06;5.52;1.94;0.85;69.60;3;20.33
300;JoaquÃ­n BlÃ¡zquez;ARG;GK;Brest;Ligue 1;22;2001;1;1;90;1.00;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;21.00;29.00;72.40;728.00;535.00;6.00;6.00;100.00;7.00;8.00;87.50;8.00;14.00;57.10;0.00;0.00;1.00;0.00;0.00;0.00;29.00;13.00;16.00;5.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;21.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00;32.00;26.00;32.00;0.00;0.00;0.00;32.00;0.00;0.00;0.00;0.00;0.00;15.00;104.00;55.00;0.00;0.00;0.00;0.00;0.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6;
301;Alexis Blin;FRA;MFDF;Lecce;Serie A;26;1996;20;13;1253;13.90;0;0.36;0.07;20.00;0.00;0.00;15.60;0.00;0.00;0.00;32.80;40.50;81.00;538.80;159.40;15.80;18.10;87.30;12.70;15.30;83.00;2.73;4.24;64.40;0.00;0.50;3.60;0.58;0.14;4.32;40.50;38.20;2.23;0.72;0.00;0.43;1.15;0.72;0.07;0.07;0.00;0.00;32.80;0.07;0.43;1.22;1.08;0.00;0.00;0.07;0.07;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.52;1.08;1.01;1.01;0.50;1.51;2.45;61.80;0.94;1.94;0.79;1.15;1.37;3.88;4.03;0.00;54.20;4.60;17.10;27.80;9.50;0.72;54.20;0.50;0.14;28.60;0.36;71.40;22.30;109.60;57.80;0.86;0.72;0.07;1.22;0.43;28.10;1.44;0.14;0.00;0.00;1.44;1.15;0.00;1.15;1.08;0.00;0.00;0.00;5.04;1.80;2.88;38.50;6;31.01
302;Daley Blind;NED;MFDF;Bayern Munich;Bundesliga;32;1990;2;0;37;0.40;0;2.50;2.50;100.00;0.00;0.00;24.80;0.00;0.00;0.00;50.00;52.50;95.20;1070.00;435.00;12.50;12.50;100.00;32.50;35.00;92.90;5.00;5.00;100.00;0.00;2.50;5.00;2.50;0.00;7.50;52.50;47.50;5.00;5.00;0.00;2.50;0.00;0.00;0.00;0.00;0.00;0.00;50.00;0.00;0.00;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;67.50;10.00;17.50;42.50;7.50;0.00;67.50;0.00;0.00;0.00;0.00;0.00;27.50;127.50;40.00;0.00;0.00;0.00;0.00;0.00;40.00;0.00;0.00;0.00;0.00;2.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;5.00;2.50;66.70;4;63.34
303;Myron Boadu;NED;FW;Monaco;Ligue 1;22;2001;4;0;58;0.60;1;1.67;1.67;100.00;1.00;1.00;3.80;0.00;0.00;0.00;3.33;10.00;33.30;41.70;0.00;3.33;6.67;50.00;0.00;1.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1.67;0.00;21.70;1.67;3.33;11.70;6.67;3.33;21.70;1.67;0.00;0.00;1.67;100.00;16.70;45.00;6.67;0.00;0.00;0.00;5.00;1.67;21.70;0.00;0.00;0.00;0.00;5.00;1.67;1.67;0.00;0.00;0.00;0.00;0.00;0.00;5.00;6.67;42.90;6;27.52
304;JÃ©rÃ´me Boateng;GER;DF;Lyon;Ligue 1;34;1988;6;4;315;3.50;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;36.60;46.30;79.00;801.10;288.90;8.29;10.30;80.60;22.60;24.90;90.80;4.86;9.43;51.50;0.00;0.29;2.00;0.57;0.00;1.71;46.30;44.90;1.43;1.43;0.29;0.29;0.29;0.00;0.00;0.00;0.00;0.00;36.60;0.00;0.29;0.57;0.57;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.57;0.00;0.29;0.29;0.00;0.29;0.86;33.30;0.57;1.14;0.57;0.57;1.43;2.00;4.29;0.00;55.10;8.86;27.10;27.70;0.29;0.00;55.10;0.00;0.00;0.00;0.00;0.00;36.30;156.00;56.00;0.00;0.00;0.00;0.00;0.00;34.60;0.00;0.00;0.00;0.00;0.29;0.00;0.00;0.29;0.00;0.00;0.00;0.00;2.57;2.00;0.29;87.50;3;16.70
305;Kevin-Prince Boateng;GHA;MF;Hertha BSC;Bundesliga;35;1987;9;1;133;1.50;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;42.00;56.00;75.00;714.70;238.70;20.70;24.70;83.80;17.30;22.70;76.50;4.00;4.67;85.70;0.00;1.33;5.33;0.00;0.00;5.33;56.00;46.70;8.67;2.00;0.67;0.00;2.67;4.00;0.00;0.00;0.00;0.00;42.00;0.67;0.00;2.00;1.33;0.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.33;0.67;0.67;0.67;0.00;0.00;0.67;0.00;0.67;0.67;0.67;0.00;0.00;1.33;1.33;0.00;71.30;4.00;13.30;36.70;21.30;4.00;71.30;0.67;0.00;0.00;0.67;100.00;44.00;162.70;40.70;0.00;0.00;0.00;4.67;3.33;48.00;7.33;0.67;0.00;0.00;7.33;1.33;0.00;2.67;0.67;0.00;0.00;0.00;7.33;2.67;2.67;50.00;1;25.35
306;Antonin Bobichon;FRA;MF;Angers;Ligue 1;27;1995;3;0;18;0.20;0;5.00;5.00;100.00;0.00;0.00;31.20;5.00;0.00;0.00;60.00;100.00;60.00;1005.00;355.00;30.00;50.00;60.00;20.00;25.00;80.00;10.00;15.00;66.70;0.00;5.00;25.00;5.00;0.00;20.00;100.00;95.00;5.00;0.00;5.00;0.00;10.00;0.00;5.00;5.00;0.00;0.00;60.00;0.00;10.00;10.00;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.00;0.00;5.00;0.00;0.00;0.00;0.00;115.00;0.00;10.00;45.00;65.00;15.00;115.00;0.00;0.00;0.00;0.00;0.00;80.00;385.00;240.00;10.00;5.00;0.00;0.00;0.00;75.00;40.00;0.00;0.00;0.00;0.00;0.00;0.00;10.00;0.00;0.00;0.00;0.00;10.00;0.00;5.00;0.00;4;52.05
307;Jean-Paul BoÃ«tius;NED;MF;Hertha BSC;Bundesliga;28;1994;14;8;750;8.30;0;0.60;0.36;60.00;0.00;0.00;20.60;0.00;0.00;0.00;25.70;35.40;72.40;441.90;168.10;11.00;14.00;78.40;10.20;13.10;78.00;2.89;5.18;55.80;0.00;1.08;2.89;0.84;0.00;5.06;35.40;32.50;2.41;1.57;0.24;0.72;0.48;0.00;0.00;0.00;0.00;0.00;25.70;0.48;0.12;2.17;1.57;0.12;0.12;0.12;0.24;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.41;1.45;1.57;0.60;0.24;0.48;1.33;36.40;0.84;1.81;0.00;1.81;0.96;3.37;0.96;0.00;48.10;1.45;10.50;28.00;10.40;0.72;48.10;1.20;0.24;20.00;0.72;60.00;23.90;90.00;34.80;0.36;0.48;0.00;2.29;1.20;28.40;2.41;0.24;0.00;0.00;0.96;2.65;0.00;0.48;1.45;0.00;0.00;0.00;6.51;0.48;1.69;22.20;8;26.17
308;Jeremie Boga;CIV;MFFW;Atalanta;Serie A;26;1997;12;3;393;4.40;1;1.82;0.45;25.00;0.13;0.50;19.00;0.00;0.00;0.00;41.40;51.60;80.20;613.60;175.50;23.90;28.60;83.30;11.10;13.20;84.50;3.64;5.45;66.70;1.14;5.00;2.05;3.18;0.91;5.91;51.60;46.10;5.23;0.91;0.45;0.00;5.00;1.14;3.18;2.27;0.23;0.00;41.40;0.23;0.68;7.50;4.32;1.82;0.91;0.00;0.23;0.23;1.36;1.14;0.00;0.00;0.00;0.00;0.23;0.68;0.45;0.45;0.00;0.23;0.23;0.68;33.30;0.45;0.68;0.00;0.68;0.00;0.68;0.00;0.00;66.10;0.00;4.55;24.30;38.20;4.55;66.10;8.18;3.64;44.40;3.18;38.90;45.20;418.40;221.60;7.50;6.36;2.50;4.32;0.68;53.60;9.77;0.00;0.00;0.00;0.68;2.27;0.00;5.00;0.45;0.00;0.00;0.00;3.41;0.68;0.68;50.00;7;97.59
309;Emil Bohinen;NOR;MF;Salernitana;Serie A;23;1999;10;4;338;3.80;0;0.53;0.00;0.00;0.00;0.00;28.10;0.00;0.00;0.00;41.10;47.10;87.20;579.20;143.70;24.20;26.10;92.90;13.40;15.50;86.40;1.84;2.89;63.60;0.00;1.32;3.16;1.05;0.26;3.68;47.10;44.70;2.37;2.37;0.00;0.26;0.26;0.00;0.00;0.00;0.00;0.00;41.10;0.00;0.79;1.84;1.58;0.26;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.68;2.11;2.37;0.53;0.79;1.84;2.37;77.80;0.53;2.11;0.79;1.32;2.11;5.79;1.32;0.00;60.30;3.42;17.90;31.10;12.40;0.53;60.30;1.05;0.00;0.00;0.53;50.00;31.30;178.40;96.30;0.79;1.84;0.00;1.05;1.05;35.30;1.32;0.00;0.00;0.00;1.32;1.58;0.00;0.26;2.11;0.00;0.00;0.00;8.68;0.26;0.79;25.00;8;33.17
310;Quentin Boisgard;FRA;MF;Lorient;Ligue 1;25;1997;5;1;184;2.00;1;3.00;1.50;50.00;0.17;0.33;18.50;0.00;0.00;0.00;39.50;49.00;80.60;506.50;118.00;27.00;30.00;90.00;9.50;12.50;76.00;1.00;3.00;33.30;0.00;2.00;4.50;2.00;0.00;5.50;49.00;45.50;3.50;0.50;0.00;0.00;4.00;0.00;2.50;1.50;1.00;0.00;39.50;0.00;1.00;4.50;4.50;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.00;0.00;0.00;0.00;0.00;3.00;1.00;0.50;2.00;0.50;1.50;2.00;75.00;0.50;1.50;0.50;1.00;2.00;5.00;1.00;0.00;68.00;1.00;10.50;29.00;29.50;4.00;68.00;2.00;0.00;0.00;1.50;75.00;45.00;283.00;131.50;3.50;2.00;0.50;2.50;1.00;42.00;7.50;0.50;0.00;0.00;1.50;0.50;0.00;4.00;1.00;0.00;0.00;0.00;4.50;1.00;0.00;100.00;1;41.64
311;Willy Boly;CIV;DF;Nott'ham Forest;Premier League;32;1991;8;8;592;6.60;0;0.15;0.00;0.00;0.00;0.00;22.10;0.00;0.00;0.00;27.40;36.40;75.40;521.80;238.00;8.94;10.90;81.90;15.20;17.90;84.70;2.73;6.36;42.90;0.15;0.15;1.06;0.00;0.00;1.52;36.40;35.80;0.61;0.45;0.00;0.00;0.00;0.15;0.00;0.00;0.00;0.00;27.40;0.00;0.45;0.76;0.76;0.00;0.00;0.00;0.00;0.00;0.15;0.15;0.00;0.00;0.00;0.00;0.00;1.97;0.91;1.21;0.45;0.30;1.21;1.97;61.50;0.76;1.67;0.61;1.06;1.82;3.79;5.76;0.00;49.10;9.09;33.50;13.80;2.12;1.21;49.10;0.30;0.15;50.00;0.00;0.00;23.80;112.30;53.30;0.15;0.15;0.00;0.30;0.00;25.50;0.00;0.30;0.00;0.00;0.61;0.76;0.45;0.00;0.91;0.00;0.00;0.00;5.30;2.12;1.06;66.70;7;29.66
312;Giacomo Bonaventura;ITA;MF;Fiorentina;Serie A;33;1989;18;16;1335;14.80;3;2.36;0.61;25.70;0.09;0.33;20.50;0.07;0.00;0.00;36.40;43.80;83.00;577.10;129.50;18.70;20.90;89.60;13.40;15.40;86.80;2.64;4.19;62.90;0.00;1.22;2.57;1.42;0.27;4.80;43.80;42.00;1.82;0.95;0.20;0.14;1.82;0.27;0.20;0.00;0.20;0.00;36.40;0.00;1.08;3.18;2.09;0.20;0.20;0.34;0.34;0.00;0.27;0.20;0.00;0.00;0.00;0.07;0.00;1.82;1.28;0.74;0.81;0.27;1.22;1.69;72.00;0.47;0.61;0.00;0.61;0.95;2.77;0.27;0.07;54.50;0.68;7.09;27.80;20.80;2.97;54.50;2.16;0.95;43.80;0.61;28.10;34.90;196.40;103.20;2.70;2.97;0.41;1.08;1.28;39.20;4.12;0.20;0.00;0.00;0.95;2.16;0.14;1.82;1.28;0.07;0.00;0.00;6.89;0.61;0.81;42.90;1;41.36
313;Federico Bonazzoli;ITA;FW;Salernitana;Serie A;25;1997;19;10;904;10.00;2;2.80;0.60;21.40;0.07;0.33;18.20;0.10;0.00;0.00;20.70;27.60;75.00;378.30;75.60;9.60;11.50;83.50;7.50;9.40;79.80;3.00;4.10;73.20;0.10;0.80;2.60;0.60;0.00;3.70;27.60;25.30;2.20;0.10;0.20;1.20;0.40;0.00;0.00;0.00;0.00;0.00;20.70;0.10;1.00;2.20;1.80;0.00;0.10;0.20;0.10;0.00;0.30;0.30;0.00;0.00;0.00;0.00;0.00;0.30;0.10;0.00;0.10;0.20;0.00;0.70;0.00;0.70;0.60;0.10;0.50;0.30;0.60;0.00;0.00;39.00;0.00;2.40;20.90;16.10;2.80;39.00;2.00;1.20;60.00;0.80;40.00;24.00;92.70;36.10;0.90;0.90;0.30;3.70;1.20;29.70;6.20;0.10;0.00;0.00;1.20;2.20;0.60;0.40;0.10;0.00;0.00;0.00;3.00;0.40;1.10;26.70;0;24.55
314;Warren Bondo;FRA;MF;Monza;Serie A;19;2003;4;0;60;0.70;0;1.43;0.00;0.00;0.00;0.00;21.20;0.00;0.00;0.00;64.30;72.90;88.20;1028.60;151.40;34.30;37.10;92.30;28.60;31.40;90.90;1.43;1.43;100.00;0.00;0.00;2.86;0.00;0.00;7.14;72.90;68.60;4.29;2.86;0.00;0.00;0.00;1.43;0.00;0.00;0.00;0.00;64.30;0.00;1.43;4.29;1.43;0.00;0.00;0.00;2.86;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;1.43;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00;1.43;0.00;1.43;0.00;0.00;85.70;0.00;11.40;57.10;18.60;0.00;85.70;5.71;4.29;75.00;1.43;25.00;64.30;450.00;210.00;4.29;4.29;0.00;1.43;1.43;72.90;2.86;1.43;0.00;0.00;2.86;4.29;0.00;0.00;0.00;0.00;0.00;0.00;5.71;1.43;0.00;100.00;1;36.45
315;Theo Bongonda;COD;MF;CÃ¡diz;La Liga;27;1995;14;10;808;9.00;2;2.11;0.44;21.10;0.11;0.50;23.00;0.11;0.00;0.00;15.00;22.70;66.20;205.10;47.60;9.56;12.10;78.90;3.89;5.22;74.50;0.89;3.22;27.60;0.22;0.56;0.44;0.33;0.00;1.67;22.70;20.40;2.00;0.89;0.00;0.00;3.22;0.11;1.00;0.44;0.11;0.00;15.00;0.22;0.78;1.33;0.56;0.00;0.11;0.22;0.33;0.11;0.33;0.22;0.00;0.11;0.00;0.00;0.00;1.33;1.11;0.56;0.56;0.22;0.67;2.00;33.30;1.33;0.67;0.11;0.56;0.22;1.56;0.22;0.00;34.30;0.56;4.89;14.90;15.80;2.33;34.30;4.11;1.44;35.10;2.22;54.10;20.10;150.70;77.80;2.78;1.56;0.67;2.33;0.89;22.40;4.67;0.00;0.00;0.00;0.67;1.67;0.22;3.22;1.11;0.00;0.00;0.00;4.89;0.56;1.11;33.30;1;27.75
316;Kevin Bonifazi;ITA;DF;Bologna;Serie A;26;1996;7;4;416;4.60;0;0.43;0.00;0.00;0.00;0.00;11.30;0.00;0.00;0.00;46.70;54.60;85.70;1004.80;333.30;13.90;15.40;90.10;23.70;26.10;90.80;8.91;12.40;71.90;0.00;0.22;3.04;0.00;0.00;2.61;54.60;52.60;1.96;1.96;0.00;0.65;0.22;0.00;0.00;0.00;0.00;0.00;46.70;0.00;0.22;0.65;0.65;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.30;0.87;0.87;0.43;0.00;0.65;1.30;50.00;0.65;1.30;0.87;0.43;1.30;2.61;4.57;0.00;67.20;10.40;37.20;27.40;3.26;0.87;67.20;0.22;0.00;0.00;0.22;100.00;38.00;185.90;106.50;0.65;0.65;0.00;0.65;0.87;45.20;0.00;0.22;0.00;0.00;0.65;0.00;0.22;0.22;0.87;0.00;0.00;0.00;6.09;0.22;2.17;9.10;3;23.31
317;Leonardo Bonucci;ITA;DF;Juventus;Serie A;35;1987;9;6;600;6.70;1;0.30;0.15;50.00;0.50;1.00;15.10;0.00;0.00;0.15;44.60;52.40;85.20;970.40;367.20;12.20;13.30;92.10;24.90;27.50;90.80;7.31;11.20;65.30;0.00;0.30;3.43;0.45;0.00;2.39;52.40;48.10;4.18;1.49;0.15;0.90;0.00;0.00;0.00;0.00;0.00;0.00;44.60;0.15;0.00;0.90;0.60;0.00;0.00;0.15;0.00;0.15;0.15;0.00;0.00;0.00;0.15;0.00;0.00;0.45;0.45;0.15;0.30;0.00;0.15;0.45;33.30;0.30;1.19;0.90;0.30;1.19;1.64;3.28;0.00;60.10;10.00;32.40;27.50;0.90;0.75;60.00;0.15;0.15;100.00;0.00;0.00;32.70;127.80;69.30;0.15;0.30;0.00;0.30;0.00;40.10;0.15;0.15;0.00;0.00;1.19;0.60;0.15;0.00;0.45;0.00;0.00;0.00;5.37;1.64;1.94;45.80;3;21.15
